Pot. Lampada,Pot. Ventoinha,Temp,Umidade,Tempo
1,569,26.3,49,1967
1,569,26.3,49,1968
1,569,26.3,49,1969
1,569,26.3,49,1970
1,569,26.3,50,1971
1,569,26.3,50,1972
1,569,26.3,50,1973
1,569,26.3,50,1974
1,569,26.3,50,1975
1,569,26.3,50,1976
1,569,26.3,50,1977
1,569,26.3,50,1978
1,569,26.3,50,1979
1,569,26.3,50,1980
1,569,26.3,50,1981
1,0,26.3,50,1982
1,0,26.3,50,1983
1,0,26.3,50,1984
100,0,26.2,50,1985
100,0,26.2,50,1986
100,0,26.3,50,1987
100,0,26.3,50,1988
100,0,26.3,50,1989
100,0,26.3,50,1990
100,0,26.3,50,1991
100,0,26.3,50,1992
100,0,26.6,50,1993
100,0,26.6,50,1994
100,0,26.5,50,1995
100,0,26.5,50,1996
100,0,26.4,50,1997
100,0,26.4,50,1998
100,0,26.7,50,1999
100,0,26.7,50,2000
100,0,26.7,50,2001
100,0,26.7,50,2002
100,0,27,51,2003
100,0,27,51,2004
100,0,27,51,2005
100,0,27,51,2006
100,0,27.4,52,2007
100,0,27.4,52,2008
100,0,27,53,2009
100,0,27,53,2010
100,0,27.4,53,2011
100,0,27.4,53,2012
100,0,27.4,54,2013
100,0,27.4,54,2014
100,0,27.7,55,2015
100,0,27.7,55,2016
100,0,27.7,57,2017
100,0,27.7,57,2018
100,0,28,57,2019
100,0,28,57,2020
100,0,27.9,58,2021
100,0,27.9,58,2022
100,0,28.1,60,2023
100,0,28.1,60,2024
100,0,28.1,61,2025
100,0,28.1,61,2026
100,0,28.5,61,2027
100,0,28.5,61,2028
100,0,28.5,63,2029
100,0,28.5,63,2030
100,0,28.8,64,2031
100,0,28.8,64,2032
100,0,28.5,64,2033
100,0,28.5,64,2034
100,0,28.8,66,2035
100,0,28.8,66,2036
100,0,28.8,67,2037
100,0,28.8,67,2038
100,0,29.2,67,2039
100,0,29.2,67,2040
100,0,29.2,68,2041
100,0,29.2,68,2042
100,0,29.5,70,2043
100,0,29.5,70,2044
100,0,29.5,69,2045
100,0,29.5,69,2046
100,0,29.4,71,2047
100,0,29.4,71,2048
100,0,29.6,72,2049
100,0,29.6,72,2050
100,0,29.6,72,2051
100,0,29.6,72,2052
100,0,30,73,2053
100,0,30,73,2054
100,0,30,73,2055
100,0,30,73,2056
100,0,30.3,74,2057
100,0,30.3,74,2058
100,0,30,74,2059
100,0,30,74,2060
100,0,30,75,2061
100,0,30,75,2062
100,0,30.5,75,2063
100,0,30.5,75,2064
100,0,30.5,76,2065
100,0,30.5,76,2066
100,0,30.8,77,2067
100,0,30.8,77,2068
100,0,30.9,78,2069
100,0,30.9,78,2070
100,0,30.9,79,2071
100,0,30.9,79,2072
100,0,31,79,2073
100,0,31,79,2074
100,0,31,79,2075
100,0,31,79,2076
100,0,31,80,2077
100,0,31,80,2078
100,0,31.5,81,2079
100,0,31.5,81,2080
100,0,31.5,81,2081
100,0,31.5,81,2082
100,0,31.6,82,2083
100,0,31.6,82,2084
100,0,32,82,2085
100,0,32,82,2086
100,0,31.6,83,2087
100,0,31.6,83,2088
100,0,31.6,83,2089
100,0,31.6,83,2090
100,0,32,83,2091
100,0,32,83,2092
100,0,32,83,2093
100,0,32,83,2094
100,0,32,84,2095
100,0,32,84,2096
100,0,32.5,84,2097
100,0,32.5,84,2098
100,0,32.5,85,2099
100,0,32.5,85,2100
100,0,32.5,85,2101
100,0,32.5,85,2102
100,0,32.7,86,2103
100,0,32.7,86,2104
100,0,32.6,87,2105
100,0,32.6,87,2106
100,0,32.6,87,2107
100,0,32.6,87,2108
100,0,33,88,2109
100,0,33,88,2110
100,0,33.1,87,2111
100,0,33.1,87,2112
100,0,33.1,87,2113
100,0,33.1,87,2114
100,0,33.6,88,2115
100,0,33.6,88,2116
100,0,33.2,88,2117
100,0,33.2,88,2118
100,0,33.2,89,2119
100,0,33.2,89,2120
100,0,33.7,89,2121
100,0,33.7,89,2122
100,0,33.7,89,2123
100,0,33.7,89,2124
100,0,33.7,90,2125
100,0,33.7,90,2126
100,0,33.7,90,2127
100,0,33.7,90,2128
100,0,33.7,90,2129
100,0,33.7,90,2130
100,0,34.2,90,2131
100,0,34.2,90,2132
100,0,34.2,91,2133
100,0,34.2,91,2134
100,0,34.2,91,2135
100,0,34.2,91,2136
100,0,34.2,91,2137
100,0,34.2,91,2138
100,0,34,92,2139
100,0,34,92,2140
100,0,34.3,92,2141
100,0,34.3,92,2142
100,0,34.3,92,2143
100,0,34.3,92,2144
100,0,34.3,95,2145
100,0,34.3,95,2146
100,0,34.3,95,2147
100,0,34.3,95,2148
100,0,34.7,95,2149
100,0,34.7,95,2150
100,0,34.8,95,2151
100,0,34.8,95,2152
100,0,34.8,95,2153
100,0,34.8,95,2154
100,0,34.8,95,2155
100,0,34.8,95,2156
100,0,34.6,95,2157
100,0,34.6,95,2158
100,0,34.9,95,2159
100,0,34.9,95,2160
100,0,34.9,95,2161
100,0,34.9,95,2162
100,0,34.9,95,2163
100,0,34.9,95,2164
100,0,34.9,95,2165
100,0,34.9,95,2166
100,0,35.6,95,2167
100,0,35.6,95,2168
100,0,35.6,95,2169
100,0,35.6,95,2170
100,0,35.6,95,2171
